2025-02-04 16:46:17 startup archives unpack
2025-02-04 16:46:17 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2025-02-04 16:46:17 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2025-02-04 16:46:18 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2025-02-04 16:46:18 install libgdbm6:amd64 <none> 1.23-3
2025-02-04 16:46:18 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-02-04 16:46:18 status half-installed libgdbm6:amd64 1.23-3
2025-02-04 16:46:18 status unpacked libgdbm6:amd64 1.23-3
2025-02-04 16:46:18 install libgdbm-compat4:amd64 <none> 1.23-3
2025-02-04 16:46:18 status half-installed libgdbm-compat4:amd64 1.23-3
2025-02-04 16:46:18 status unpacked libgdbm-compat4:amd64 1.23-3
2025-02-04 16:46:18 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2025-02-04 16:46:18 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2025-02-04 16:46:18 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2025-02-04 16:46:18 install perl:amd64 <none> 5.36.0-7+deb12u1
2025-02-04 16:46:18 status half-installed perl:amd64 5.36.0-7+deb12u1
2025-02-04 16:46:18 status unpacked perl:amd64 5.36.0-7+deb12u1
2025-02-04 16:46:18 install libssl3:amd64 <none> 3.0.15-1~deb12u1
2025-02-04 16:46:18 status half-installed libssl3:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:18 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:18 install openssl:amd64 <none> 3.0.15-1~deb12u1
2025-02-04 16:46:18 status half-installed openssl:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:18 status unpacked openssl:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:18 install ca-certificates:all <none> 20230311
2025-02-04 16:46:18 status half-installed ca-certificates:all 20230311
2025-02-04 16:46:19 status unpacked ca-certificates:all 20230311
2025-02-04 16:46:19 install libpsl5:amd64 <none> 0.21.2-1
2025-02-04 16:46:19 status half-installed libpsl5:amd64 0.21.2-1
2025-02-04 16:46:19 status unpacked libpsl5:amd64 0.21.2-1
2025-02-04 16:46:19 install wget:amd64 <none> 1.21.3-1+b2
2025-02-04 16:46:19 status half-installed wget:amd64 1.21.3-1+b2
2025-02-04 16:46:19 status unpacked wget:amd64 1.21.3-1+b2
2025-02-04 16:46:19 install binutils-common:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed binutils-common:amd64 2.40-2
2025-02-04 16:46:19 status unpacked binutils-common:amd64 2.40-2
2025-02-04 16:46:19 install libbinutils:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed libbinutils:amd64 2.40-2
2025-02-04 16:46:19 status unpacked libbinutils:amd64 2.40-2
2025-02-04 16:46:19 install libctf-nobfd0:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed libctf-nobfd0:amd64 2.40-2
2025-02-04 16:46:19 status unpacked libctf-nobfd0:amd64 2.40-2
2025-02-04 16:46:19 install libctf0:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed libctf0:amd64 2.40-2
2025-02-04 16:46:19 status unpacked libctf0:amd64 2.40-2
2025-02-04 16:46:19 install libgprofng0:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed libgprofng0:amd64 2.40-2
2025-02-04 16:46:19 status unpacked libgprofng0:amd64 2.40-2
2025-02-04 16:46:19 install libjansson4:amd64 <none> 2.14-2
2025-02-04 16:46:19 status half-installed libjansson4:amd64 2.14-2
2025-02-04 16:46:19 status unpacked libjansson4:amd64 2.14-2
2025-02-04 16:46:19 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2025-02-04 16:46:19 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2025-02-04 16:46:19 install binutils:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed binutils:amd64 2.40-2
2025-02-04 16:46:19 status unpacked binutils:amd64 2.40-2
2025-02-04 16:46:19 install binutils-aarch64-linux-gnu:amd64 <none> 2.40-2
2025-02-04 16:46:19 status half-installed binutils-aarch64-linux-gnu:amd64 2.40-2
2025-02-04 16:46:20 status unpacked binutils-aarch64-linux-gnu:amd64 2.40-2
2025-02-04 16:46:20 install libisl23:amd64 <none> 0.25-1.1
2025-02-04 16:46:20 status half-installed libisl23:amd64 0.25-1.1
2025-02-04 16:46:20 status unpacked libisl23:amd64 0.25-1.1
2025-02-04 16:46:20 install libmpfr6:amd64 <none> 4.2.0-1
2025-02-04 16:46:20 status half-installed libmpfr6:amd64 4.2.0-1
2025-02-04 16:46:20 status unpacked libmpfr6:amd64 4.2.0-1
2025-02-04 16:46:20 install libmpc3:amd64 <none> 1.3.1-1
2025-02-04 16:46:20 status half-installed libmpc3:amd64 1.3.1-1
2025-02-04 16:46:20 status unpacked libmpc3:amd64 1.3.1-1
2025-02-04 16:46:20 install cpp-12:amd64 <none> 12.2.0-14
2025-02-04 16:46:20 status half-installed cpp-12:amd64 12.2.0-14
2025-02-04 16:46:20 status unpacked cpp-12:amd64 12.2.0-14
2025-02-04 16:46:20 install cpp:amd64 <none> 4:12.2.0-3
2025-02-04 16:46:20 status half-installed cpp:amd64 4:12.2.0-3
2025-02-04 16:46:20 status unpacked cpp:amd64 4:12.2.0-3
2025-02-04 16:46:20 install gcc-12-aarch64-linux-gnu-base:amd64 <none> 12.2.0-14cross1
2025-02-04 16:46:20 status half-installed gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1
2025-02-04 16:46:20 status unpacked gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1
2025-02-04 16:46:20 install cpp-12-aarch64-linux-gnu:amd64 <none> 12.2.0-14cross1
2025-02-04 16:46:20 status half-installed cpp-12-aarch64-linux-gnu:amd64 12.2.0-14cross1
2025-02-04 16:46:21 status unpacked cpp-12-aarch64-linux-gnu:amd64 12.2.0-14cross1
2025-02-04 16:46:21 install cpp-aarch64-linux-gnu:amd64 <none> 4:12.2.0-3
2025-02-04 16:46:21 status half-installed cpp-aarch64-linux-gnu:amd64 4:12.2.0-3
2025-02-04 16:46:21 status unpacked cpp-aarch64-linux-gnu:amd64 4:12.2.0-3
2025-02-04 16:46:21 install libcc1-0:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libcc1-0:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libcc1-0:amd64 12.2.0-14
2025-02-04 16:46:21 install libgomp1:amd64 <none> 12.2.0-14
2025-02-04 16:46:21 status half-installed libgomp1:amd64 12.2.0-14
2025-02-04 16:46:21 status unpacked libgomp1:amd64 12.2.0-14
2025-02-04 16:46:21 install libitm1:amd64 <none> 12.2.0-14
